callsign,dataset,date,entryTimestamp,exitTimestamp,firstTransmissionDate,flag,geartype,hours,imo,lastTransmissionDate,lat,lon,mmsi,shipName,vesselId,vesselType,_dataset
,public-global-vessel-identity:v4.0,2022-09,2022-09-30T14:00:00Z,2022-09-30T14:00:00Z,2020-11-17T18:44:14Z,IDN,INCONCLUSIVE,6.499444444444444,,2026-06-09T21:00:51Z,-6.6,111.69999694824219,525900078,TRI MINA SAMUDRA,01a740dc3-3a10-6ced-583b-ee9271375b5b,FISHING,public-global-fishing-effort:v4.0
YEC5463,public-global-vessel-identity:v4.0,2022-10,2022-10-22T00:00:00Z,2022-10-22T00:00:00Z,2020-04-22T00:57:49Z,IDN,INCONCLUSIVE,3.981388888888889,,2026-06-13T18:35:12Z,-6.6,111.5999984741211,525800426,TUNAS BERSAUDARA 02,6b78f4138-89b8-d102-4462-bc406022047a,FISHING,public-global-fishing-effort:v4.0
JALU,public-global-vessel-identity:v4.0,2022-12,2022-12-26T18:00:00Z,2022-12-26T18:00:00Z,2020-11-24T01:13:57Z,IDN,INCONCLUSIVE,3.696111111111111,,2023-01-09T18:35:31Z,-6.6,111.30000305175781,525101321,ATLANTIK-10,a4a133cac-cfca-131f-b55c-169d83de5132,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2022-10,2022-10-23T07:00:00Z,2022-10-23T07:00:00Z,2022-06-16T01:01:24Z,IDN,OTHER,0.49916666666666665,,2026-05-28T22:28:24Z,-6.6,111.69999694824219,525082325,AURA MINA JAYA,6bd48348a-a6f1-d2c9-26cc-d767a6f1f96f,OTHER,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2023-09,2023-09-23T04:00:00Z,2023-09-23T06:00:00Z,2022-01-08T18:08:58Z,IDN,FISHING,1.8038888888888889,,2024-08-06T20:11:15Z,-6.6,111.4000015258789,525076120,WMB,16c299506-6a1b-1e75-4e0b-dcdc483dfb8d,FISHING,public-global-fishing-effort:v4.0
YDA6259,public-global-vessel-identity:v4.0,2023-02,2023-01-11T09:00:00Z,2023-11-23T00:00:00Z,2020-09-29T08:50:10Z,IDN,INCONCLUSIVE,0.5166666666666666,,2026-06-13T22:39:44Z,-6.6,111.69999694824219,525400107,TB NAILA,11934d1ee-edef-e207-c667-11ce3ae21cfa,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2023-12,2023-12-12T08:00:00Z,2023-12-12T08:00:00Z,2023-06-23T06:44:09Z,IDN,NA,0.0,,2026-05-29T01:15:43Z,-6.7,111.30000305175781,525675920,JAYA   MANDIRI,5911be69a-aa0e-40d3-66c9-03b41eacc277,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2023-03,2023-03-28T08:00:00Z,2023-03-28T08:00:00Z,2022-11-10T02:11:57Z,IDN,FISHING,0.0,,2023-09-27T15:20:49Z,-6.6,111.30000305175781,525148700,KM. REYNAND GENDHIS,90206b03b-b851-1289-ebb8-46d47282b945,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2023-09,2023-09-23T04:00:00Z,2023-09-23T06:00:00Z,2022-01-08T18:08:58Z,IDN,FISHING,0.0,,2024-08-06T20:11:15Z,-6.7,111.30000305175781,525076120,WMB,16c299506-6a1b-1e75-4e0b-dcdc483dfb8d,FISHING,public-global-fishing-effort:v4.0
YEC5463,public-global-vessel-identity:v4.0,2023-12,2023-12-16T07:00:00Z,2023-12-16T08:00:00Z,2020-04-22T00:57:49Z,IDN,INCONCLUSIVE,0.7919444444444443,,2026-06-13T18:35:12Z,-6.6,111.69999694824219,525800426,TUNAS BERSAUDARA 02,6b78f4138-89b8-d102-4462-bc406022047a,FISHING,public-global-fishing-effort:v4.0
YDA6259,public-global-vessel-identity:v4.0,2023-11,2023-01-11T09:00:00Z,2023-11-23T00:00:00Z,2020-09-29T08:50:10Z,IDN,INCONCLUSIVE,5.884444444444444,,2026-06-13T22:39:44Z,-6.6,111.5,525400107,TB NAILA,11934d1ee-edef-e207-c667-11ce3ae21cfa,FISHING,public-global-fishing-effort:v4.0
YDA6259,public-global-vessel-identity:v4.0,2023-01,2023-01-11T09:00:00Z,2023-11-23T00:00:00Z,2020-09-29T08:50:10Z,IDN,INCONCLUSIVE,2.556111111111111,,2026-06-13T22:39:44Z,-6.6,111.69999694824219,525400107,TB NAILA,11934d1ee-edef-e207-c667-11ce3ae21cfa,FISHING,public-global-fishing-effort:v4.0
YDA4919,public-global-vessel-identity:v4.0,2023-01,2023-01-04T20:00:00Z,2023-01-04T22:00:00Z,2020-05-03T12:51:09Z,IDN,INCONCLUSIVE,1.0580555555555555,,2025-10-09T13:35:06Z,-6.6,111.69999694824219,525500068,TB ETI 304,df0d3737d-d08c-2c68-b2d8-ef88f361c89e,FISHING,public-global-fishing-effort:v4.0
YDA4919,public-global-vessel-identity:v4.0,2023-01,2023-01-04T20:00:00Z,2023-01-04T22:00:00Z,2020-05-03T12:51:09Z,IDN,INCONCLUSIVE,1.8,,2025-10-09T13:35:06Z,-6.7,111.69999694824219,525500068,TB ETI 304,df0d3737d-d08c-2c68-b2d8-ef88f361c89e,FISHING,public-global-fishing-effort:v4.0
EKASARI,public-global-vessel-identity:v4.0,2024-09,2024-08-10T13:00:00Z,2024-10-26T14:00:00Z,2022-01-22T12:25:48Z,IDN,INCONCLUSIVE,4.935555555555555,,2025-08-07T22:54:39Z,-6.6,111.19999694824219,525301879,EKA SARI 2,ef9a7d637-79a1-14cf-ae2c-1c76dffdc994,FISHING,public-global-fishing-effort:v4.0
YEC5051,public-global-vessel-identity:v4.0,2024-12,2024-12-18T23:00:00Z,2024-12-19T05:00:00Z,2024-06-23T19:45:46Z,IDN,INCONCLUSIVE,3.0030555555555556,,2025-05-29T22:15:13Z,-6.6,111.5,525500872,KM BERKAH JAYA A,b093067b1-17c3-7732-3847-45b8ffe2c283,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-10,2024-10-27T05:00:00Z,2024-10-27T06:00:00Z,2023-10-08T19:26:19Z,IDN,FISHING,1.7661111111111112,,2026-06-03T00:24:15Z,-6.6,111.4000015258789,525482500,KEMBANG SEPASANG 1,5171dc6d6-69c7-2d8c-1259-212d8bcf7f65,FISHING,public-global-fishing-effort:v4.0
YEC5047,public-global-vessel-identity:v4.0,2024-09,2024-09-02T04:00:00Z,2024-09-07T11:00:00Z,2023-11-28T09:45:50Z,IDN,INCONCLUSIVE,1.4933333333333332,,2025-10-28T10:08:41Z,-6.6,111.30000305175781,525500896,KM  SOYO SEJAHTERA,ae73bd9f9-9430-bbf6-560b-8d045ba00769,FISHING,public-global-fishing-effort:v4.0
YEC5051,public-global-vessel-identity:v4.0,2024-12,2024-12-18T23:00:00Z,2024-12-19T05:00:00Z,2024-06-23T19:45:46Z,IDN,INCONCLUSIVE,1.9569444444444444,,2025-05-29T22:15:13Z,-6.6,111.69999694824219,525500872,KM BERKAH JAYA A,b093067b1-17c3-7732-3847-45b8ffe2c283,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-07,2024-06-23T07:00:00Z,2024-08-17T07:00:00Z,2023-10-26T06:41:02Z,IDN,NA,0.9144444444444445,,2026-06-13T02:04:34Z,-6.6,111.4000015258789,525497300,KM RUKUN ABADI 03,079d406f0-0b8d-a9a3-1617-b7d968a088e6,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-08,2024-08-08T17:00:00Z,2024-08-08T18:00:00Z,2023-06-05T12:57:03Z,IDN,INCONCLUSIVE,0.5966666666666668,,2025-03-13T15:17:41Z,-6.6,111.19999694824219,525501700,CAHAYA REJEKI 1,0287c585d-d894-47f6-3ff0-a6db1fb24573,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-09,2024-09-14T05:00:00Z,2024-09-14T09:00:00Z,2020-09-15T12:55:59Z,IDN,INCONCLUSIVE,0.18305555555555555,,2025-11-17T20:48:43Z,-6.6,111.4000015258789,525500069,KM.ASIA MAKMUR 04,7f2c19038-89d3-0711-2a4f-0ad33be90a36,FISHING,public-global-fishing-effort:v4.0
MASDURI,public-global-vessel-identity:v4.0,2024-09,2024-09-03T10:00:00Z,2024-09-04T03:00:00Z,2023-09-16T13:02:55Z,IDN,INCONCLUSIVE,14.246111111111112,,2025-08-23T04:59:35Z,-6.6,111.30000305175781,525600087,SELAMET RAHAYU MAKMU,e9742f22c-c95b-8bab-6414-093eae0256a3,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-07,2024-07-09T06:00:00Z,2024-07-09T07:00:00Z,2023-09-26T14:01:03Z,IDN,FISHING,0.825,,2026-06-05T05:38:05Z,-6.6,111.4000015258789,525218310,KM SB PRIMA 4,67c24cc5d-dbb3-2a61-29f6-05ff3fd6441d,FISHING,public-global-fishing-effort:v4.0
C,public-global-vessel-identity:v4.0,2024-09,2024-09-09T08:00:00Z,2024-09-10T08:00:00Z,2022-12-02T05:24:26Z,IDN,INCONCLUSIVE,0.15833333333333333,,2024-10-01T10:01:36Z,-6.6,111.69999694824219,525600767,MEKAR JAYA BAHARI 04,edb5275ac-c878-4451-c40f-58679e9829bf,FISHING,public-global-fishing-effort:v4.0
,public-global-vessel-identity:v4.0,2024-10,2024-10-16T05:00:00Z,2024-10-16T08:00:00Z,2023-10-27T07:22:28Z,IDN,SET_LONGLINES,0.6627777777777778,,2025-05-21T04:36:07Z,-6.6,111.4000015258789,525557400,KM CAHAYA ABADI,19489d16f-f09c-4301-b968-be406c2345df,FISHING,public-global-fishing-effort:v4.0
