tahun,triwulan,pdrb_tanaman_pangan,triwulan_num,periode
2010,I,306367.592453214,1,2010Q1
2010,II,284173.004235329,2,2010Q2
2010,III,269338.387300843,3,2010Q3
2010,IV,131213.225426279,4,2010Q4
2011,I,338903.406252303,1,2011Q1
2011,II,277664.508480082,2,2011Q2
2011,III,252586.516151358,3,2011Q3
2011,IV,131312.778946065,4,2011Q4
2012,I,325690.906934038,1,2012Q1
2012,II,268257.981000982,2,2012Q2
2012,III,271504.672200785,3,2012Q3
2012,IV,155548.175137502,4,2012Q4
2013,I,338060.878427893,1,2013Q1
2013,II,281086.136790253,2,2013Q2
2013,III,285874.026575804,3,2013Q3
2013,IV,139778.994928048,4,2013Q4
2014,I,248965.715112073,1,2014Q1
2014,II,200754.819911437,2,2014Q2
2014,III,230968.071595157,3,2014Q3
2014,IV,108261.052033473,4,2014Q4
2015,I,251819.815153034,1,2015Q1
2015,II,240326.616381508,2,2015Q2
2015,III,232569.396989664,3,2015Q3
2015,IV,95284.8128814895,4,2015Q4
2016,I,225227.211878598,1,2016Q1
2016,II,220975.107937025,2,2016Q2
2016,III,236622.381358902,3,2016Q3
2016,IV,127358.578825473,4,2016Q4
2017,I,296628.051785664,1,2017Q1
2017,II,240819.590291375,2,2017Q2
2017,III,262387.782007665,3,2017Q3
2017,IV,125628.365915293,4,2017Q4
2018,I,282161.93,1,2018Q1
2018,II,245704.48,2,2018Q2
2018,III,258526.48,3,2018Q3
2018,IV,114827.449999999,4,2018Q4
2019,I,271906.02,1,2019Q1
2019,II,259431.59,2,2019Q2
2019,III,217758.7,3,2019Q3
2019,IV,98817.5699999999,4,2019Q4
2020,I,204671.84,1,2020Q1
2020,II,251069.83,2,2020Q2
2020,III,257381.93,3,2020Q3
2020,IV,123966.42,4,2020Q4
2021,I,318083.52,1,2021Q1
2021,II,232168.7,2,2021Q2
2021,III,241463.46,3,2021Q3
2021,IV,146406.36,4,2021Q4
2022,I,315343.0,1,2022Q1
2022,II,249057.79,2,2022Q2
2022,III,234333.78,3,2022Q3
2022,IV,162277.649999999,4,2022Q4
2023,I,363592.45,1,2023Q1
2023,II,250638.43,2,2023Q2
2023,III,237412.87,3,2023Q3
2023,IV,162193.89,4,2023Q4
2024,I,289228.76,1,2024Q1
2024,II,309370.42,2,2024Q2
2024,III,241991.04,3,2024Q3
2024,IV,171778.39,4,2024Q4
2025,I,492435.28,1,2025Q1
2025,II,355892.66,2,2025Q2
2025,III,243181.95,3,2025Q3
2025,IV,97429.52,4,2025Q4
2026,I,630218.29,1,2026Q1
2026,II,,2,2026Q2
2026,III,,3,2026Q3
2026,IV,,4,2026Q4
