periode,tahun,triwulan_num,pdrb_total_adhb,pdrb_total_adhk
2010Q1,2010,1,1990351.78623766,2062782.88623886
2010Q2,2010,2,2080266.14682556,2096547.36904743
2010Q3,2010,3,2250041.94713644,2208363.84308943
2010Q4,2010,4,2052886.99331505,2005852.77513899
2011Q1,2011,1,2199908.58943007,2105320.21651655
2011Q2,2011,2,2336459.19921791,2229995.89205941
2011Q3,2011,3,2531864.59851581,2345467.00634673
2011Q4,2011,4,2284558.97846569,2127519.66096435
2012Q1,2012,1,2440876.52259488,2239825.02694595
2012Q2,2012,2,2636300.74359278,2364886.26239499
2012Q3,2012,3,2710809.82542172,2418471.55358894
2012Q4,2012,4,2535386.82802398,2253980.39203354
2013Q1,2013,1,2643295.33998446,2353164.40176297
2013Q2,2013,2,2916864.64418653,2522340.56607005
2013Q3,2013,3,3077794.7333559,2563249.98411028
2013Q4,2013,4,2803148.33629007,2341995.44119926
2014Q1,2014,1,3018173.23929866,2462839.92842765
2014Q2,2014,2,3207048.16934935,2582239.78447237
2014Q3,2014,3,3427902.23972527,2731732.77473269
2014Q4,2014,4,3168591.99279606,2507461.86906693
2015Q1,2015,1,3306098.64320829,2594986.64232921
2015Q2,2015,2,3454137.38195531,2709882.79997905
2015Q3,2015,3,3688885.89462718,2870559.86427134
2015Q4,2015,4,3448694.65700686,2674839.89199411
2016Q1,2016,1,3468216.73289318,2678548.81388648
2016Q2,2016,2,3691431.15530176,2848010.08306706
2016Q3,2016,3,3951786.88833975,3022870.72609897
2016Q4,2016,4,3760254.86346529,2873578.67694747
2017Q1,2017,1,3822982.92458443,2894797.30372295
2017Q2,2017,2,4032871.13231176,3030260.9509987
2017Q3,2017,3,4330625.49725962,3227441.27007623
2017Q4,2017,4,4138236.98584417,3067672.6452021
2018Q1,2018,1,4146059.333,3054608.86499999
2018Q2,2018,2,4360054.248,3202593.16499999
2018Q3,2018,3,4714717.909,3436830.39
2018Q4,2018,4,4469271.43,3245649.86999999
2019Q1,2019,1,4487596.08166666,3242569.12
2019Q2,2019,2,4667870.21166666,3369058.01
2019Q3,2019,3,4938780.78666666,3539722.48999999
2019Q4,2019,4,4849799.7,3460985.69
2020Q1,2020,1,4658074.158,3305713.73999999
2020Q2,2020,2,4523934.237,3211062.26
2020Q3,2020,3,4934489.566,3491908.76999999
2020Q4,2020,4,4827150.83899999,3400946.43
2021Q1,2021,1,4914350.39,3438942.43
2021Q2,2021,2,4799174.39,3346098.566
2021Q3,2021,3,5125484.88,3548690.164
2021Q4,2021,4,5232087.11,3591785.08
2022Q1,2022,1,5396251.509,3647646.03632
2022Q2,2022,2,5303048.653,3546377.69048
2022Q3,2022,3,5623586.195,3731449.211
2022Q4,2022,4,5784322.883,3773371.0122
2023Q1,2023,1,5971177.74,3848792.4
2023Q2,2023,2,5856121.18,3763315.69999999
2023Q3,2023,3,6146192.17,3930242.16
2023Q4,2023,4,6152685.78,3918845.46999999
2024Q1,2024,1,6377070.26,4023463.22
2024Q2,2024,2,6346299.97,3996757.82
2024Q3,2024,3,6549202.09,4120270.63999999
2024Q4,2024,4,6533282.2,4107528.64999999
2025Q1,2025,1,6945031.18999999,4335811.59
2025Q2,2025,2,6771909.43,4206610.8
2025Q3,2025,3,6878245.07,4259506.38999999
2025Q4,2025,4,7114573.67999999,4383912.12
2026Q1,2026,1,7623512.73,4623635.93
2026Q2,2026,2,,
2026Q3,2026,3,,
2026Q4,2026,4,,
