kecamatan,tahun,triwulan,periode,ndvi_mean,ndvi_source,ntl_median,ntl_source,ntl_relative,ntl_valid,ndvi_recommended,ntl_recommended
Rembang,2010,1,2010Q1,0.5625694616041715,Landsat-7,10.999999999999998,DMSP-OLS,1.5098039215686272,True,False,False
Pancur,2010,1,2010Q1,0.6266907107985857,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Lasem,2010,1,2010Q1,0.4901516698505079,Landsat-7,9.0,DMSP-OLS,1.2352941176470589,True,False,False
Kragan,2010,1,2010Q1,0.5909079429312517,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sluke,2010,1,2010Q1,0.7036641845796426,Landsat-7,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Pamotan,2010,1,2010Q1,0.597267513235753,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sulang,2010,1,2010Q1,0.5026644678691595,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sarang,2010,1,2010Q1,0.4070894993593267,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sedan,2010,1,2010Q1,0.448290432657097,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Kaliori,2010,1,2010Q1,0.440646975130135,Landsat-7,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Gunem,2010,1,2010Q1,0.6607659242723428,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sale,2010,1,2010Q1,0.6229355731715791,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sumber,2010,1,2010Q1,0.4843219184140985,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Bulu,2010,1,2010Q1,0.4448652244840647,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Rembang,2010,2,2010Q2,,no_data,10.999999999999998,DMSP-OLS,1.5098039215686272,True,False,False
Pancur,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Lasem,2010,2,2010Q2,,no_data,9.0,DMSP-OLS,1.2352941176470589,True,False,False
Kragan,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sluke,2010,2,2010Q2,,no_data,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Pamotan,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sulang,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sarang,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sedan,2010,2,2010Q2,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Kaliori,2010,2,2010Q2,,no_data,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Gunem,2010,2,2010Q2,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sale,2010,2,2010Q2,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sumber,2010,2,2010Q2,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Bulu,2010,2,2010Q2,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Rembang,2010,3,2010Q3,0.5462431211395864,Landsat-7,10.999999999999998,DMSP-OLS,1.5098039215686272,True,False,False
Pancur,2010,3,2010Q3,0.7379681028248213,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Lasem,2010,3,2010Q3,0.6496307399486918,Landsat-7,9.0,DMSP-OLS,1.2352941176470589,True,False,False
Kragan,2010,3,2010Q3,0.7059981334634663,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sluke,2010,3,2010Q3,0.7371282286092652,Landsat-7,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Pamotan,2010,3,2010Q3,0.6567043993789095,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sulang,2010,3,2010Q3,0.6415664617447802,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sarang,2010,3,2010Q3,0.6658158261656019,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sedan,2010,3,2010Q3,0.7372551534971405,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Kaliori,2010,3,2010Q3,0.4665868207576358,Landsat-7,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Gunem,2010,3,2010Q3,0.7179560932956472,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sale,2010,3,2010Q3,0.7105570240263298,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sumber,2010,3,2010Q3,0.6162125040225161,Landsat-7,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Bulu,2010,3,2010Q3,0.716407426083646,Landsat-7,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Rembang,2010,4,2010Q4,,no_data,10.999999999999998,DMSP-OLS,1.5098039215686272,True,False,False
Pancur,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Lasem,2010,4,2010Q4,,no_data,9.0,DMSP-OLS,1.2352941176470589,True,False,False
Kragan,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sluke,2010,4,2010Q4,,no_data,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Pamotan,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sulang,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sarang,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Sedan,2010,4,2010Q4,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Kaliori,2010,4,2010Q4,,no_data,8.0,DMSP-OLS,1.0980392156862746,True,False,False
Gunem,2010,4,2010Q4,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sale,2010,4,2010Q4,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Sumber,2010,4,2010Q4,,no_data,7.0,DMSP-OLS,0.9607843137254902,True,False,False
Bulu,2010,4,2010Q4,,no_data,6.0,DMSP-OLS,0.8235294117647058,True,False,False
Rembang,2011,1,2011Q1,,no_data,9.999999999999998,DMSP-OLS,1.538461538461538,True,False,False
Pancur,2011,1,2011Q1,,no_data,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Lasem,2011,1,2011Q1,,no_data,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Kragan,2011,1,2011Q1,,no_data,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sluke,2011,1,2011Q1,,no_data,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Pamotan,2011,1,2011Q1,,no_data,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sulang,2011,1,2011Q1,,no_data,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sarang,2011,1,2011Q1,,no_data,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Sedan,2011,1,2011Q1,,no_data,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Kaliori,2011,1,2011Q1,,no_data,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Gunem,2011,1,2011Q1,,no_data,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sale,2011,1,2011Q1,,no_data,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sumber,2011,1,2011Q1,,no_data,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Bulu,2011,1,2011Q1,,no_data,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Rembang,2011,2,2011Q2,0.4551310756280368,Landsat-7,9.999999999999998,DMSP-OLS,1.538461538461538,True,False,False
Pancur,2011,2,2011Q2,0.6881233443430578,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Lasem,2011,2,2011Q2,0.6114604446055871,Landsat-7,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Kragan,2011,2,2011Q2,0.5586969659207132,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sluke,2011,2,2011Q2,0.6677902306837302,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Pamotan,2011,2,2011Q2,0.6178838521342278,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sulang,2011,2,2011Q2,0.5547666257828697,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sarang,2011,2,2011Q2,0.5738357182286931,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Sedan,2011,2,2011Q2,0.6319143247296877,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Kaliori,2011,2,2011Q2,0.394473098777371,Landsat-7,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Gunem,2011,2,2011Q2,0.6431626697442634,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sale,2011,2,2011Q2,0.651997868421956,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sumber,2011,2,2011Q2,0.5446061456648784,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Bulu,2011,2,2011Q2,0.673748894357128,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Rembang,2011,3,2011Q3,0.3235888621347756,Landsat-7,9.999999999999998,DMSP-OLS,1.538461538461538,True,False,False
Pancur,2011,3,2011Q3,0.5896933796256636,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Lasem,2011,3,2011Q3,0.5071335633429291,Landsat-7,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Kragan,2011,3,2011Q3,0.4538154052262575,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sluke,2011,3,2011Q3,0.515921835989946,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Pamotan,2011,3,2011Q3,0.4680654040423007,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sulang,2011,3,2011Q3,0.4127522295689336,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sarang,2011,3,2011Q3,0.4289771280323485,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Sedan,2011,3,2011Q3,0.538555974929832,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Kaliori,2011,3,2011Q3,0.2366314285815669,Landsat-7,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Gunem,2011,3,2011Q3,0.4882903663902892,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sale,2011,3,2011Q3,0.4223506654151069,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sumber,2011,3,2011Q3,0.378409093276056,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Bulu,2011,3,2011Q3,0.449913804391327,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Rembang,2011,4,2011Q4,0.3684406448863118,Landsat-7,9.999999999999998,DMSP-OLS,1.538461538461538,True,False,False
Pancur,2011,4,2011Q4,0.6105307938685464,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Lasem,2011,4,2011Q4,0.5231889775370852,Landsat-7,8.0,DMSP-OLS,1.2307692307692308,True,False,False
Kragan,2011,4,2011Q4,0.4933536109780882,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Sluke,2011,4,2011Q4,0.5742583599936315,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
Pamotan,2011,4,2011Q4,0.5309088638306404,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sulang,2011,4,2011Q4,0.5130363858879446,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Sarang,2011,4,2011Q4,0.4321019266490288,Landsat-7,6.0,DMSP-OLS,0.9230769230769232,True,False,False
