kecamatan,periode,tahun,triwulan,n_s2_scenes,bsi_mean,bsi_high_fraction,ndvi_mean,ndvi_low_fraction,limestone_ratio_mean,ndvi_stddev
Rembang,2017Q2,2017,2,1,0.0078,0.3937,0.521,0.0421,0.917,0
Pancur,2017Q2,2017,2,1,-0.1585,0.1169,0.7412,0.0011,0.7024,0
Lasem,2017Q2,2017,2,1,-0.1141,0.1951,0.6229,0.0646,0.7694,0
Kragan,2017Q2,2017,2,1,-0.1303,0.1507,0.6885,0.0136,0.7461,0
Sluke,2017Q2,2017,2,1,-0.1627,0.1081,0.702,0.0403,0.7148,0
Pamotan,2017Q2,2017,2,1,-0.0943,0.1757,0.6786,0.0024,0.7816,0
Sulang,2017Q2,2017,2,1,-0.0678,0.2355,0.643,0.0042,0.7994,0
Sarang,2017Q2,2017,2,1,-0.074,0.2206,0.6508,0.015,0.802,0
Sedan,2017Q2,2017,2,1,-0.1405,0.123,0.7315,0.0026,0.7138,0
Kaliori,2017Q2,2017,2,1,0.04,0.4941,0.4119,0.1274,0.968,0
Gunem,2017Q2,2017,2,1,-0.1092,0.1793,0.6987,0.0177,0.7469,0
Sale,2017Q2,2017,2,1,-0.1446,0.0942,0.7443,0.0021,0.6825,0
Sumber,2017Q2,2017,2,1,-0.0166,0.3688,0.5916,0.0027,0.8775,0
Bulu,2017Q2,2017,2,1,-0.1171,0.1612,0.71,0.0002,0.7158,0
Rembang,2017Q3,2017,3,1,0.0798,0.674,0.3945,0.0473,1.0931,0
Pancur,2017Q3,2017,3,1,-0.0497,0.2559,0.6024,0.0012,0.8911,0
Lasem,2017Q3,2017,3,1,-0.035,0.2912,0.5128,0.0723,0.932,0
Kragan,2017Q3,2017,3,1,-0.0183,0.3495,0.5443,0.0152,0.9526,0
Sluke,2017Q3,2017,3,1,-0.0397,0.2996,0.5533,0.0437,0.9307,0
Pamotan,2017Q3,2017,3,1,0.0281,0.4268,0.5135,0.0028,0.9882,0
Sulang,2017Q3,2017,3,1,0.018,0.3915,0.5266,0.0045,0.9649,0
Sarang,2017Q3,2017,3,1,0.094,0.7026,0.4328,0.0155,1.1027,0
Sedan,2017Q3,2017,3,1,0.0062,0.388,0.5577,0.0035,0.9715,0
Kaliori,2017Q3,2017,3,1,0.0717,0.6649,0.2996,0.1443,1.0929,0
