kecamatan,periode,tahun,triwulan,n_scenes,ndbi_mean,ndbi_fraction,urban_index_mean
Rembang,2017Q2,2017,2,1,-0.0261,0.434,-0.5471
Pancur,2017Q2,2017,2,1,-0.1906,0.1282,-0.9318
Lasem,2017Q2,2017,2,1,-0.1531,0.2105,-0.776
Kragan,2017Q2,2017,2,1,-0.1676,0.1608,-0.8561
Sluke,2017Q2,2017,2,1,-0.193,0.1181,-0.895
Pamotan,2017Q2,2017,2,1,-0.1303,0.187,-0.8089
Sulang,2017Q2,2017,2,1,-0.1003,0.2581,-0.7433
Sarang,2017Q2,2017,2,1,-0.1117,0.2328,-0.7625
Sedan,2017Q2,2017,2,1,-0.1763,0.1267,-0.9078
Kaliori,2017Q2,2017,2,1,-0.0099,0.5215,-0.4217
Gunem,2017Q2,2017,2,1,-0.1428,0.1834,-0.8415
Sale,2017Q2,2017,2,1,-0.1801,0.0993,-0.9244
Sumber,2017Q2,2017,2,1,-0.0471,0.3907,-0.6387
Bulu,2017Q2,2017,2,1,-0.1483,0.1698,-0.8583
Rembang,2017Q3,2017,3,1,0.0466,0.709,-0.3479
Pancur,2017Q3,2017,3,1,-0.081,0.2944,-0.6835
Lasem,2017Q3,2017,3,1,-0.076,0.3234,-0.5888
Kragan,2017Q3,2017,3,1,-0.0527,0.3773,-0.597
Sluke,2017Q3,2017,3,1,-0.0745,0.3237,-0.6278
Pamotan,2017Q3,2017,3,1,-0.0046,0.4663,-0.5181
Sulang,2017Q3,2017,3,1,-0.0159,0.4273,-0.5425
Sarang,2017Q3,2017,3,1,0.0652,0.7377,-0.3676
Sedan,2017Q3,2017,3,1,-0.0289,0.422,-0.5865
Kaliori,2017Q3,2017,3,1,0.0134,0.6831,-0.2862
Gunem,2017Q3,2017,3,1,-0.0071,0.4719,-0.5345
Sale,2017Q3,2017,3,1,0.0049,0.5278,-0.5513
Sumber,2017Q3,2017,3,1,0.0116,0.5439,-0.4788
Bulu,2017Q3,2017,3,1,-0.0455,0.337,-0.6425
Rembang,2017Q4,2017,4,0,,,
Pancur,2017Q4,2017,4,0,,,
Lasem,2017Q4,2017,4,0,,,
Kragan,2017Q4,2017,4,0,,,
Sluke,2017Q4,2017,4,0,,,
Pamotan,2017Q4,2017,4,0,,,
Sulang,2017Q4,2017,4,0,,,
Sarang,2017Q4,2017,4,0,,,
Sedan,2017Q4,2017,4,0,,,
Kaliori,2017Q4,2017,4,0,,,
Gunem,2017Q4,2017,4,0,,,
Sale,2017Q4,2017,4,0,,,
Sumber,2017Q4,2017,4,0,,,
Bulu,2017Q4,2017,4,0,,,
Rembang,2018Q1,2018,1,0,,,
Pancur,2018Q1,2018,1,0,,,
Lasem,2018Q1,2018,1,0,,,
Kragan,2018Q1,2018,1,0,,,
Sluke,2018Q1,2018,1,0,,,
Pamotan,2018Q1,2018,1,0,,,
Sulang,2018Q1,2018,1,0,,,
Sarang,2018Q1,2018,1,0,,,
Sedan,2018Q1,2018,1,0,,,
Kaliori,2018Q1,2018,1,0,,,
Gunem,2018Q1,2018,1,0,,,
Sale,2018Q1,2018,1,0,,,
Sumber,2018Q1,2018,1,0,,,
Bulu,2018Q1,2018,1,0,,,
Rembang,2018Q2,2018,2,1,-0.0344,0.4421,-0.5433
Pancur,2018Q2,2018,2,1,-0.2022,0.1208,-0.9219
Lasem,2018Q2,2018,2,1,-0.1962,0.1605,-0.8163
Kragan,2018Q2,2018,2,1,-0.1542,0.2311,-0.789
Sluke,2018Q2,2018,2,1,-0.2313,0.0936,-0.9276
Pamotan,2018Q2,2018,2,1,-0.1353,0.194,-0.7857
Sulang,2018Q2,2018,2,1,-0.1156,0.2403,-0.7498
Sarang,2018Q2,2018,2,1,-0.0896,0.3167,-0.6901
Sedan,2018Q2,2018,2,1,-0.1608,0.1715,-0.8426
Kaliori,2018Q2,2018,2,1,-0.1401,0.2708,-0.648
Gunem,2018Q2,2018,2,1,-0.1582,0.1798,-0.8461
Sale,2018Q2,2018,2,1,-0.1823,0.1177,-0.8991
Sumber,2018Q2,2018,2,1,-0.1399,0.208,-0.7902
Bulu,2018Q2,2018,2,1,-0.1435,0.1952,-0.828
Rembang,2018Q3,2018,3,1,0.0697,0.8026,-0.2067
Pancur,2018Q3,2018,3,1,-0.0882,0.296,-0.6162
Lasem,2018Q3,2018,3,1,-0.077,0.3145,-0.501
Kragan,2018Q3,2018,3,1,-0.0567,0.3744,-0.5465
Sluke,2018Q3,2018,3,1,-0.0605,0.378,-0.5508
Pamotan,2018Q3,2018,3,1,0.0142,0.5611,-0.434
Sulang,2018Q3,2018,3,1,-0.0155,0.4429,-0.4419
Sarang,2018Q3,2018,3,1,0.0596,0.7271,-0.3698
Sedan,2018Q3,2018,3,1,-0.0295,0.4383,-0.585
Kaliori,2018Q3,2018,3,1,0.0268,0.6838,-0.2115
Gunem,2018Q3,2018,3,1,0.0311,0.5834,-0.4477
Sale,2018Q3,2018,3,1,0.0041,0.5358,-0.5522
Sumber,2018Q3,2018,3,1,0.0159,0.5659,-0.3953
Bulu,2018Q3,2018,3,1,-0.0279,0.4277,-0.5591
Rembang,2018Q4,2018,4,1,0.1277,0.9155,-0.1013
Pancur,2018Q4,2018,4,1,0.0328,0.6723,-0.3709
Lasem,2018Q4,2018,4,1,0.0323,0.6657,-0.311
Kragan,2018Q4,2018,4,1,0.0436,0.6772,-0.3416
Sluke,2018Q4,2018,4,1,0.0389,0.6922,-0.3414
Pamotan,2018Q4,2018,4,1,0.1183,0.8858,-0.1836
Sulang,2018Q4,2018,4,1,0.1333,0.942,-0.1513
Sarang,2018Q4,2018,4,1,0.1376,0.9205,-0.131
Sedan,2018Q4,2018,4,1,0.0838,0.8339,-0.2544
Kaliori,2018Q4,2018,4,1,0.0732,0.7858,-0.1165
Gunem,2018Q4,2018,4,1,0.1302,0.8841,-0.1804
Sale,2018Q4,2018,4,1,0.1028,0.8369,-0.2501
Sumber,2018Q4,2018,4,1,0.0931,0.8716,-0.2448
Bulu,2018Q4,2018,4,1,0.1111,0.8819,-0.2365
Rembang,2019Q1,2019,1,4,-0.1366,0.1622,-0.663
Pancur,2019Q1,2019,1,4,-0.2308,0.0565,-0.8896
Lasem,2019Q1,2019,1,4,-0.2004,0.0917,-0.6661
Kragan,2019Q1,2019,1,4,-0.208,0.0701,-0.7365
Sluke,2019Q1,2019,1,4,-0.2169,0.0556,-0.6551
