kecamatan,periode,tahun,triwulan,n_s2_scenes,n_sar_scenes,ndwi_mean,ndwi_water_fraction,salt_bright_fraction,sar_vv_median
Rembang,2017Q2,2017,2,1,31,-0.4982,0.0144,1,-9.3767
Pancur,2017Q2,2017,2,1,31,-0.6696,0.0,1,-8.1871
Lasem,2017Q2,2017,2,1,31,-0.5672,0.0261,1,-8.8737
Kragan,2017Q2,2017,2,1,31,-0.6258,0.0058,1,-8.8746
Sluke,2017Q2,2017,2,1,31,-0.635,0.0211,1,-8.6251
Pamotan,2017Q2,2017,2,1,31,-0.6197,0.0001,1,-8.8125
Sulang,2017Q2,2017,2,1,31,-0.5861,0.0029,1,-8.4373
Sarang,2017Q2,2017,2,1,31,-0.6008,0.0085,1,-9.4377
Sedan,2017Q2,2017,2,1,31,-0.662,0.0,1,-8.5624
Kaliori,2017Q2,2017,2,1,31,-0.4035,0.0366,1,-10.3742
Gunem,2017Q2,2017,2,1,31,-0.6352,0.0015,1,-8.3757
Sale,2017Q2,2017,2,1,31,-0.664,0.0,1,-7.9367
Sumber,2017Q2,2017,2,1,31,-0.5606,0.0022,1,-8.8757
Bulu,2017Q2,2017,2,1,31,-0.6352,0.0,1,-7.9376
Rembang,2017Q3,2017,3,1,35,-0.4323,0.0091,1,-10.626
Pancur,2017Q3,2017,3,1,35,-0.5758,0.0,1,-8.9372
Lasem,2017Q3,2017,3,1,35,-0.4974,0.0196,1,-9.4368
Kragan,2017Q3,2017,3,1,35,-0.538,0.0048,1,-9.8759
Sluke,2017Q3,2017,3,1,35,-0.5395,0.0213,1,-9.3748
Pamotan,2017Q3,2017,3,1,35,-0.514,0.0,1,-9.6876
Sulang,2017Q3,2017,3,1,35,-0.5195,0.0026,1,-9.5631
Sarang,2017Q3,2017,3,1,35,-0.4748,0.007,1,-10.5623
Sedan,2017Q3,2017,3,1,35,-0.5554,0.0,1,-9.5627
Kaliori,2017Q3,2017,3,1,35,-0.3369,0.0291,1,-10.9374
Gunem,2017Q3,2017,3,1,35,-0.5289,0.0014,1,-9.1249
